Tag Name,List,Rule ID,Level,Description,Tag Name,Description,Tag Name,Description,Tag Name,Description,Message (Display IF <col 6> = <col 8> AND <col 1> is less than <col 10>)
EmsArrivalTime,,3103,4,EMS Unit Arrival on Scene Time,EmsArrivalDate,EMS Unit Arrival on Scene Date,EmsNotifyDate,EMS Dispatch Date,EmsNotifyTime,EMS Dispatch Time,"EMS Unit Arrival on Scene Time is earlier than EMS Dispatch Time"
EmsLeftTime,,3303,4,EMS Unit Scene Departure Time,EmsLeftDate,EMS Unit Scene Departure Date,EmsNotifyDate,EMS Dispatch Date,EmsNotifyTime,EMS Dispatch Time,"EMS Unit Scene Departure Time is earlier than EMS Dispatch Time"
EmsLeftTime,,3304,4,EMS Unit Scene Departure Time,EmsLeftDate,EMS Unit Scene Departure Date,EmsArrivalDate,EMS Unit Arrival on Scene Date,EmsArrivalTime,EMS Unit Arrival on Scene Time,"EMS Unit Scene Departure Time is earlier than EMS Unit Arrival on Scene Time"
HospitalArrivalTime,,4604,4,ED/Hospital Arrival Time,HospitalArrivalDate,ED/Hospital Arrival Date,EmsNotifyDate,EMS Dispatch Date,EmsNotifyTime,EMS Dispatch Time,"ED/Hospital Arrival Time is earlier than EMS Dispatch Time"
HospitalArrivalTime,,4605,4,ED/Hospital Arrival Time,HospitalArrivalDate,ED/Hospital Arrival Date,EmsArrivalDate,EMS Unit Arrival on Scene Date,EmsArrivalTime,EMS Unit Arrival on Scene Time,"ED/Hospital Arrival Time is earlier than EMS Unit Arrival on Scene Time"
HospitalArrivalTime,,4606,4,ED/Hospital Arrival Time,HospitalArrivalDate,ED/Hospital Arrival Date,EmsLeftDate,EMS Unit Scene Departure Date,EmsLeftTime,EMS Unit Scene Departure Time,"ED/Hospital Arrival Time is earlier than EMS Unit Scene Departure Time"
EdDischargeTime,,6404,4,ED Discharge Time,EdDischargeDate,ED Discharge Date,EmsNotifyDate,EMS Dispatch Date,EmsNotifyTime,EMS Dispatch Time,"ED Discharge Time is earlier than EMS Dispatch Time"
EdDischargeTime,,6405,4,ED Discharge Time,EdDischargeDate,ED Discharge Date,EmsArrivalDate,EMS Unit Arrival on Scene Date,EmsArrivalTime,EMS Unit Arrival on Scene Time,"ED Discharge Time is earlier than EMS Unit Arrival on Scene Time"
EdDischargeTime,,6406,4,ED Discharge Time,EdDischargeDate,ED Discharge Date,EmsLeftDate,EMS Unit Scene Departure Date,EmsLeftTime,EMS Unit Scene Departure Time,"ED Discharge Time is earlier than EMS Unit Scene Departure Time"
EdDischargeTime,,6407,4,ED Discharge Time,EdDischargeDate,ED Discharge Date,HospitalArrivalDate,ED/Hospital Arrival Date,HospitalArrivalTime,ED/Hospital Arrival Time,"ED Discharge Time is earlier than ED/Hospital Arrival Time"
HospitalProcedures[].HospitalProcedureStartTime,HospitalProcedures,6703,4,Hospital Procedure Start Time,HospitalProcedures[].HospitalProcedureStartDate,Hospital Procedure Start Date,EmsNotifyDate,EMS Dispatch Date,EmsNotifyTime,EMS Dispatch Time,"Hospital Procedure Start Time is earlier than EMS Dispatch Time"
HospitalProcedures[].HospitalProcedureStartTime,HospitalProcedures,6704,4,Hospital Procedure Start Time,HospitalProcedures[].HospitalProcedureStartDate,Hospital Procedure Start Date,EmsArrivalDate,EMS Unit Arrival on Scene Date,EmsArrivalTime,EMS Unit Arrival on Scene Time,"Hospital Procedure Start Time is earlier than EMS Unit Arrival on Scene Time"
HospitalProcedures[].HospitalProcedureStartTime,HospitalProcedures,6705,4,Hospital Procedure Start Time,HospitalProcedures[].HospitalProcedureStartDate,Hospital Procedure Start Date,EmsLeftDate,EMS Unit Scene Departure Date,EmsLeftTime,EMS Unit Scene Departure Time,"Hospital Procedure Start Time is earlier than EMS Unit Scene Departure Time"
